"id","title","icon96x96","src","_blank","appid","cat"
"marca.list","Marcas de vehículos","/$/catcars/img/icons/car-marcas.png","/!/catcars/marca/","0","catcars.marcas","0090"
"modelo.list","Modelos de vehículos","/$/catcars/img/icons/car-modelos.png","/!/catcars/modelo/","0","catcars.modelos","0090"
"version.list","Versiones de vehículos","/$/catcars/img/icons/car-versiones.png","/!/catcars/version/","0","catcars.version","0090"
"compatibilidad.list","Compatibilidad de partes","/$/catcars/img/icons/car-partes-equiv.png","/!/catcars/compatibilidad/","0","catcars.compatibilidad","0090"
